北京,北京,北京,CN101010100
上海,上海,上海,CN101020100
天津,天津,天津,CN101030100
重庆,重庆,重庆,CN101040100
哈尔滨,黑龙江,哈尔滨,CN101050101
齐齐哈尔,黑龙江,齐齐哈尔,CN101050201
牡丹江,黑龙江,牡丹江,CN101050301
佳木斯,黑龙江,佳木斯,CN101050401
绥化,黑龙江,绥化,CN101050501
黑河,黑龙江,黑河,CN101050601
大兴安岭,黑龙江,大兴安岭,CN101050701
伊春,黑龙江,伊春,CN101050801
大庆,黑龙江,大庆,CN101050901
新兴,黑龙江,七台河,CN101051001
鸡西,黑龙江,鸡西,CN101051101
鹤岗,黑龙江,鹤岗,CN101051201
双鸭山,黑龙江,双鸭山,CN101051301
长春,吉林,长春,CN101060101
吉林,吉林,吉林,CN101060201
延吉,吉林,延边,CN101060301
四平,吉林,四平,CN101060401
通化,吉林,通化,CN101060501
白城,吉林,白城,CN101060601
辽源,吉林,辽源,CN101060701
松原,吉林,松原,CN101060801
白山,吉林,白山,CN101060901
沈阳,辽宁,沈阳,CN101070101
大连,辽宁,大连,CN101070201
鞍山,辽宁,鞍山,CN101070301
抚顺,辽宁,抚顺,CN101070401
本溪,辽宁,本溪,CN101070501
丹东,辽宁,丹东,CN101070601
锦州,辽宁,锦州,CN101070701
营口,辽宁,营口,CN101070801
阜新,辽宁,阜新,CN101070901
辽阳,辽宁,辽阳,CN101071001
铁岭,辽宁,铁岭,CN101071101
朝阳,辽宁,朝阳,CN101071201
盘锦,辽宁,盘锦,CN101071301
葫芦岛,辽宁,葫芦岛,CN101071401
呼和浩特,内蒙古,呼和浩特,CN101080101
包头,内蒙古,包头,CN101080201
乌海,内蒙古,乌海,CN101080301
集宁,内蒙古,乌兰察布,CN101080401
通辽,内蒙古,通辽,CN101080501
赤峰,内蒙古,赤峰,CN101080601
鄂尔多斯,内蒙古,鄂尔多斯,CN101080701
临河,内蒙古,巴彦淖尔,CN101080801
锡林浩特,内蒙古,锡林郭勒,CN101080901
海拉尔,内蒙古,呼伦贝尔,CN101081001
乌兰浩特,内蒙古,兴安盟,CN101081101
阿左旗,内蒙古,阿拉善盟,CN101081201
石家庄,河北,石家庄,CN101090101
保定,河北,保定,CN101090201
张家口,河北,张家口,CN101090301
双桥,河北,承德,CN101090401
唐山,河北,唐山,CN101090501
廊坊,河北,廊坊,CN101090601
沧州,河北,沧州,CN101090701
衡水,河北,衡水,CN101090801
邢台,河北,邢台,CN101090901
